,i_url,Sanction,name,sex,Age,Weight,SQM,BPM,DLM,Total
109,471,GA-2013-01,Brian Morrison,1,40,72.5,117.5,115,162.5,395
110,471,GA-2013-01,Clayton Tino,1,28,71.4,127.5,100,145,372.5
111,471,GA-2013-01,Shaun Oliver,1,40,86.4,200,130,220,550
112,471,GA-2013-01,Shaun Eshraghi,1,28,88.9,192.5,127.5,195,515
113,471,GA-2013-01,Baker Leavitt,1,38,99.6,215,147.5,230,592.5
114,471,GA-2013-01,Peter Riddett,1,,92.4,125,102.5,160,387.5
115,471,GA-2013-01,Ricky Houser,1,31,106.7,225,190,240,655
116,471,GA-2013-01,Maxim Brown,1,28,82.4,182.5,120,210,512.5
117,471,GA-2013-01,Matt Buttimer,1,27,80.2,25,25,25,75
119,471,GA-2013-01,Grant Barnett,1,20,85.8,205,125,215,545
120,471,GA-2013-01,Stefano Fenu,1,20,86.6,205,117.5,197.5,520
125,473,AK-2013-01,Natalie Hanson,0,23,74.3,135,87.5,152.5,375
126,473,AK-2013-01,Theresa Ball,0,40,54.7,77.5,42.5,115,235
127,473,AK-2013-01,Cynthia Aita-Holmes,0,,54,90,45,117.5,252.5
128,473,AK-2013-01,Karen Arnold,0,46,54,55,40,72.5,167.5
129,473,AK-2013-01,Crystal McGill,0,29,59.1,92.5,62.5,142.5,297.5
130,473,AK-2013-01,Lindsay Smith,0,26,59.7,105,60,127.5,292.5
131,473,AK-2013-01,Briana Walters,0,35,59.6,87.5,47.5,97.5,232.5
132,473,AK-2013-01,Samantha Tolbert,0,26,71.5,127.5,80,150,357.5
133,473,AK-2013-01,Casey Fonoti,0,26,113.7,145,82.5,170,397.5
134,473,AK-2013-01,Iris Mucha,0,29,62,115,62.5,127.5,305
135,473,AK-2013-01,Allie Lees,0,26,66.8,65,57.5,82.5,205
136,473,AK-2013-01,Brittany Orton,0,29,76,110,65,142.5,317.5
137,473,AK-2013-01,Zach Shumaker,1,,74.9,167.5,115,212.5,495
138,473,AK-2013-01,Stephan Marty,1,,72.8,172.5,120,187.5,480
139,473,AK-2013-01,Chris Johnson,1,,99,210,147.5,252.5,610
140,473,AK-2013-01,David Piffareno,1,,98.6,165,127.5,197.5,490
141,473,AK-2013-01,Rob Schmidt,1,40,118.1,255,175,252.5,682.5
142,473,AK-2013-01,William Heath,1,40,78,145,122.5,187.5,455
143,473,AK-2013-01,Jim Slone,1,,89.3,185,145,210,540
145,473,AK-2013-01,Hal Llyod,1,,106.6,200,125,240,565
146,473,AK-2013-01,Greg Rowland,1,,74.8,152.5,115,205,472.5
147,473,AK-2013-01,Ian Delack,1,27,71.6,145,112.5,195,452.5
149,473,AK-2013-01,Larry Martin,1,30,89.7,182.5,125,230,537.5
150,473,AK-2013-01,Reilly Kelleher,1,28,99.1,215,142.5,262.5,620
151,473,AK-2013-01,Brock Dulaney,1,27,99.5,137.5,110,170,417.5
153,473,AK-2013-01,Scott Medeiros,1,36,105.6,227.5,130,220,577.5
154,473,AK-2013-01,Jared Brooks,1,,107.8,172.5,107.5,215,495
155,473,AK-2013-01,Ed Bailey,1,29,65.7,160,102.5,182.5,445
156,473,AK-2013-01,John Walters,1,,66.1,102.5,72.5,147.5,322.5
158,473,AK-2013-01,Ross Leppala,1,29,82.2,227.5,175,230,632.5
159,473,AK-2013-01,Rio Steward,1,,123.7,175,165,225,565
161,477,GA-2013-02,Heather L Melton,0,,55,110,60,140,310
162,477,GA-2013-02,Laura Moore,0,28,77.5,120,65,150,335
163,477,GA-2013-02,Heidi Ziegele,0,44,77.5,97.5,62.5,122.5,282.5
164,477,GA-2013-02,Cathy Mele,0,47,57.5,70,47.5,112.5,230
165,477,GA-2013-02,Diane Marie Mckinney,0,,57.5,90,57.5,135,282.5
166,477,GA-2013-02,Katherine Capps,0,21,85,77.5,35,122.5,235
167,477,GA-2013-02,Judy McHan,0,55,61.7,77.5,47.5,112.5,237.5
168,477,GA-2013-02,Khanhyen Nguyen,0,29,51.6,87.5,47.5,90,225
169,477,GA-2013-02,Valerie Cappiali,0,30,55.6,92.5,47.5,132.5,272.5
170,477,GA-2013-02,Dierdre Campanella,0,,52.5,82.5,60,105,247.5
171,477,GA-2013-02,Leigh Alberici,0,39,52.5,62.5,47.5,92.5,202.5
172,477,GA-2013-02,Michelle Louise Toth,0,,57.5,97.5,52.5,110,260
173,477,GA-2013-02,Nancy Mawire,0,36,70.6,105,72.5,155,332.5
174,477,GA-2013-02,Amanda Carroll,0,33,72.5,112.5,55,137.5,305
175,477,GA-2013-02,Amanda Jonnala,0,37,102.5,77.5,57.5,105,240
176,477,GA-2013-02,Lis Saunders,0,,62.5,130,65,155,350
177,477,GA-2013-02,Stephanie Kingery,0,,65,60,37.5,97.5,195
178,477,GA-2013-02,Marinda Coetzee,0,35,77.5,110,52.5,142.5,305
179,477,GA-2013-02,Michael T Ho,1,,73.9,170,125,250,545
180,477,GA-2013-02,Aidan Dowdle,1,21,71.8,172.5,87.5,190,450
181,477,GA-2013-02,Dennis Nop,1,24,73,140,110,182.5,432.5
182,477,GA-2013-02,Aneeb Ahmed,1,21,71.7,135,70,215,420
183,477,GA-2013-02,Blake Andrew Mattison,1,,88,182.5,117.5,237.5,537.5
184,477,GA-2013-02,Ryan Brooks,1,24,85.2,162.5,147.5,207.5,517.5
185,477,GA-2013-02,Matt B Parsons,1,,87,160,107.5,182.5,450
186,477,GA-2013-02,Brooks Conway,1,23,82,232.5,170,280,682.5
187,477,GA-2013-02,Jack Roberts Wilson,1,,81.6,210,135,245,590
188,477,GA-2013-02,Nadav Spiegelman,1,24,82,125,82.5,157.5,365
189,477,GA-2013-02,Eric Levy,1,41,89.3,172.5,107.5,227.5,507.5
190,477,GA-2013-02,Will Johnson,1,46,89.5,172.5,130,227.5,530
191,477,GA-2013-02,Mike Compton,1,,82.5,157.5,125,182.5,465
192,477,GA-2013-02,David Densford,1,52,117.8,125,100,142.5,367.5
193,477,GA-2013-02,Anthony B Calhoun,1,,128.2,192.5,120,175,487.5
194,477,GA-2013-02,Darrell Grizzle,1,51,135,102.5,82.5,142.5,327.5
195,477,GA-2013-02,Shaun Capuy,1,33,72.3,102.5,110,182.5,395
196,477,GA-2013-02,Jon Burklow,1,29,74.9,125,65,167.5,357.5
197,477,GA-2013-02,Johnny Griffin,1,,74.9,100,67.5,150,317.5
198,477,GA-2013-02,Chris M Dunn,1,,87.6,237.5,172.5,285,695
199,477,GA-2013-02,Ramzi Bouhamdan,1,32,89.3,130,105,207.5,442.5
200,477,GA-2013-02,Robert Tate,1,31,87.5,142.5,110,165,417.5
201,477,GA-2013-02,Baker Leavitt,1,38,99.8,215,152.5,227.5,595
202,477,GA-2013-02,Steven M Platek,1,,94.8,185,107.5,257.5,550
203,477,GA-2013-02,Jason Reck,1,38,97.7,175,152.5,217.5,545
204,477,GA-2013-02,Robert Farrell,1,28,102.3,200,102.5,217.5,520
205,477,GA-2013-02,Hunter Benn,1,36,111.1,182.5,157.5,227.5,567.5
206,477,GA-2013-02,David Huckleby,1,40,125,160,132.5,200,492.5
207,477,GA-2013-02,Ben Podbielski,1,28,158.9,240,187.5,272.5,700
208,477,GA-2013-02,Devin Hultgren,1,31,80.8,192.5,127.5,227.5,547.5
209,477,GA-2013-02,Michael Callahan,1,30,80.3,175,117.5,217.5,510
210,477,GA-2013-02,Sherman Mathews,1,19,87.8,220,132.5,272.5,625
212,479,AL-2013-01,Quinequa Hughes,0,18,51.9,67.5,42.5,112.5,222.5
213,479,AL-2013-01,Brittany Weathersby,0,18,55.3,87.5,47.5,112.5,247.5
214,479,AL-2013-01,Josie Brabson,0,18,118.7,127.5,75,147.5,350
215,479,AL-2013-01,Shon Paul Dukes,1,,58.6,72.5,60,122.5,255
216,479,AL-2013-01,Asa Davis,1,18,59.3,160,105,187.5,452.5
217,479,AL-2013-01,Cody Houser,1,18,73.9,175,132.5,202.5,510
218,479,AL-2013-01,Austin Gauldin,1,18,74.3,160,127.5,185,472.5
219,479,AL-2013-01,Sam Downey,1,18,98.9,237.5,142.5,195,575
220,479,AL-2013-01,Jeffrey Palma,1,18,96.8,155,125,215,495
221,479,AL-2013-01,Jacob Keesee,1,18,64.4,160,102.5,182.5,445
222,479,AL-2013-01,Austen Hickerson,1,18,75.2,142.5,115,165,422.5
223,479,AL-2013-01,Donald Thomas,1,19,55.8,137.5,92.5,172.5,402.5
224,479,AL-2013-01,Adrian Broom,1,18,59.6,167.5,112.5,212.5,492.5
225,479,AL-2013-01,Hayden Fulwood,1,19,88,167.5,122.5,227.5,517.5
226,479,AL-2013-01,Cody Amon,1,,87.5,185,125,197.5,507.5
227,479,AL-2013-01,Pooser Hunter,1,19,117,260,160,262.5,682.5
232,499,CA-2013-01,Jazmine Ahumada,0,22,96.3,125,60,130,315
233,499,CA-2013-01,Chloe Kipnis,0,21,81.9,105,52.5,142.5,300
234,499,CA-2013-01,Michelle Zimmerman,0,50,106.7,97.5,55,137.5,290
235,499,CA-2013-01,Patricia Nunziati,0,49,82,90,42.5,115,247.5
236,499,CA-2013-01,Paula Stephen,0,,52.2,60,37.5,107.5,205
237,499,CA-2013-01,Jeannine Cascadden,0,50,84.6,85,62.5,115,262.5
238,499,CA-2013-01,Raina Taltano,0,,55.6,82.5,55,97.5,235
239,499,CA-2013-01,Tatiana Pineau,0,33,59.8,100,50,120,270
240,499,CA-2013-01,Irene Tobias,0,29,72,75,60,115,250
241,499,CA-2013-01,Malina Taylor,0,,86.6,125,77.5,142.5,345
242,499,CA-2013-01,Karen Loftis,0,26,88.8,105,62.5,165,332.5
243,499,CA-2013-01,Lisa Quevedo,0,24,126,112.5,110,170,392.5
244,499,CA-2013-01,April White,0,30,66.7,137.5,67.5,170,375
245,499,CA-2013-01,Jessica Cutler,0,29,63.5,112.5,70,137.5,320
246,499,CA-2013-01,Joy Tongzon,0,26,60.8,90,47.5,100,237.5
247,499,CA-2013-01,Alyssa Ross,0,20,72.5,90,70,135,295
248,499,CA-2013-01,Aaron Shutts,1,23,85,137.5,115,182.5,435
249,499,CA-2013-01,Kyle Simpson,1,22,66.3,145,115,190,450
250,499,CA-2013-01,Matthew Duvall,1,24,80.4,150,110,215,475
251,499,CA-2013-01,Matt Kendall,1,,106.9,170,117.5,210,497.5
252,499,CA-2013-01,Bill Brooks,1,42,135.3,207.5,125,230,562.5
253,499,CA-2013-01,Jason Couse,1,43,81.4,160,137.5,182.5,480
254,499,CA-2013-01,Daniel Mahan,1,47,89.8,215,137.5,245,597.5
255,499,CA-2013-01,Dino Lewis,1,56,103.7,147.5,120,152.5,420
256,499,CA-2013-01,Ravy Phoun,1,30,73.9,185,155,240,580
257,499,CA-2013-01,Darrick Truong,1,27,73.3,192.5,102.5,205,500
258,499,CA-2013-01,Ryan Reynolds,1,32,73.3,135,110,170,415
259,499,CA-2013-01,Lance Hild,1,38,85.7,175,125,245,545
260,499,CA-2013-01,Mark Ard,1,32,86.3,170,157.5,195,522.5
261,499,CA-2013-01,Michael Hughson,1,27,88,175,110,217.5,502.5
262,499,CA-2013-01,Francisco Martinezucuella,1,,87.4,142.5,142.5,182.5,467.5
263,499,CA-2013-01,Garret Blevins,1,,98.4,257.5,180,270,707.5
264,499,CA-2013-01,Andrew Acevedo,1,34,98.8,212.5,165,227.5,605
265,499,CA-2013-01,Michael Zborya,1,,95.5,210,127.5,210,547.5
266,499,CA-2013-01,Mike Ramirez,1,28,102,245,165,245,655
267,499,CA-2013-01,Kevin Hudak,1,36,107.6,205,165,250,620
268,499,CA-2013-01,Zack Peters,1,27,102.9,210,150,232.5,592.5
269,499,CA-2013-01,Sal Alosi,1,36,108.3,195,120,232.5,547.5
270,499,CA-2013-01,John Planas,1,39,117.9,300,210,307.5,817.5
271,499,CA-2013-01,Carlos Santoliquido,1,35,116.5,272.5,180,300,752.5
272,499,CA-2013-01,Matt Ostiz,1,31,135.8,237.5,160,237.5,635
273,499,CA-2013-01,Jeffry Calle,1,25,66.9,102.5,70,170,342.5
274,499,CA-2013-01,Matt O'Malley,1,29,82,185,115,227.5,527.5
275,499,CA-2013-01,Tyler Judkins,1,26,80.5,165,125,210,500
276,499,CA-2013-01,Marcos Soltero,1,29,80.7,172.5,100,185,457.5
277,499,CA-2013-01,Brian Nguyen,1,19,80.4,172.5,142.5,195,510
278,499,CA-2013-01,Kevin Ramirez,1,19,81.1,142.5,110,155,407.5
279,500,NS-2013-03,Molly Zunker,0,22,46.3,95,58,130,283
280,500,NS-2013-03,Kristine Pollizano  -JR,0,,51.8,117.5,67.5,135,320
281,500,NS-2013-03,Ashlee Alteri,0,20,50.7,72.5,52.5,105,230
282,500,NS-2013-03,Kelly Lin,0,21,55.6,122.5,75,142.5,340
283,500,NS-2013-03,Laura McGuill,0,22,56.1,122.5,60,140,322.5
284,500,NS-2013-03,Heather Hoff,0,24,54.6,105,52.5,130,287.5
285,500,NS-2013-03,Kristina Malinowski,0,22,54.8,57.5,40,82.5,180
286,500,NS-2013-03,Victoria Liang,0,20,61.4,118.5,77.5,157.5,353.5
287,500,NS-2013-03,Stephanie Renfro,0,23,61.6,110,70,172.5,352.5
288,500,NS-2013-03,Elena Astello,0,20,61.6,92.5,45,132.5,270
289,500,NS-2013-03,Ewa Januszkiewicz,0,22,62.1,85,50,132.5,267.5
290,500,NS-2013-03,Emily Gaines,0,23,61.1,92.5,57.5,112.5,262.5
291,500,NS-2013-03,Melanie Merryman,0,22,59.7,75,52.5,115,242.5
292,500,NS-2013-03,Chelsea Savit,0,22,70.5,127.5,82.5,173,383
293,500,NS-2013-03,Natalie Hanson,0,23,71.5,130,80,152.5,362.5
294,500,NS-2013-03,Haley Kavelak,0,23,69,117.5,65,172.5,355
295,500,NS-2013-03,Lindsay McGuire,0,24,65.5,107.5,65,160,332.5
296,500,NS-2013-03,Emily Gray,0,23,70.2,115,72.5,137.5,325
297,500,NS-2013-03,Rachel Ellering,0,,69.2,127.5,62.5,130,320
298,500,NS-2013-03,Christina Pollick,0,20,64.6,110,65,137.5,312.5
299,500,NS-2013-03,Whitney Hawkins,0,23,67.7,110,60,137.5,307.5
300,500,NS-2013-03,Jenny Nocas,0,20,71,102.5,70,132.5,305
301,500,NS-2013-03,Kelli Lowenberg,0,40,43.1,67.5,40,102.5,210
302,500,NS-2013-03,Jennifer Thompson,0,40,61.4,145,135,195,475
303,500,NS-2013-03,Sheryl Condon,0,41,70.9,132.5,75,162.5,370
304,500,NS-2013-03,Jill Joiner-Wong - M1a,0,,66.8,137.5,80,150,367.5
305,500,NS-2013-03,Edith Gevorgian,0,49,46.8,65,35,95,195
306,500,NS-2013-03,Cathy Mele,0,47,56.3,65,50,117.5,232.5
307,500,NS-2013-03,Denis Jaffe,0,,55.2,52.5,45,92.5,190
308,500,NS-2013-03,Mary Ann Wieckowski,0,,71.1,102.5,76,127.5,306
309,500,NS-2013-03,Lynne Homan,0,51,56.3,92.5,80,147.5,320
310,500,NS-2013-03,Judy Drenth,0,,58.2,95,62.5,127.5,285
311,500,NS-2013-03,Joanne Craig,0,52,61.3,107.5,50,117.5,275
312,500,NS-2013-03,Allison LeCompte,0,,61.4,85,62.5,112.5,260
313,500,NS-2013-03,Lisa McAdams,0,55,69.3,100,52.5,137.5,290
314,500,NS-2013-03,Cathleen Marksteiner,0,55,61.9,110,72.5,117.5,300
315,500,NS-2013-03,Annemarie Kemmerer,0,60,60.7,87.5,60,135,282.5
316,500,NS-2013-03,Bernie Tatulinski,0,,59,102.5,55,112.5,270
317,500,NS-2013-03,Lynne Renshaw,0,57,67.5,92.5,77.5,135,305
318,500,NS-2013-03,Susan Elwyn,0,66,47.7,82.5,45,110,237.5
319,500,NS-2013-03,"Helen ""Kathie"" White",0,68,59.4,82.5,57.5,110,250
320,500,NS-2013-03,Cheryl Anderson,0,,47,77.5,60,145,282.5
321,500,NS-2013-03,Suzanne Hartwig-Gary,0,45,51.8,142.5,77.5,145,365
322,500,NS-2013-03,Amanda Padgett,0,26,50.9,122.5,67.5,158,348
323,500,NS-2013-03,Marisa Inda,0,37,49.6,120,77.5,147.5,345
324,500,NS-2013-03,Kristine Pollizano  -O,0,,51.8,117.5,67.5,135,320
325,500,NS-2013-03,Mune VanLuen,0,,50.5,120,55,117.5,292.5
326,500,NS-2013-03,Shalona Connolly,0,29,51.4,102.5,70,120,292.5
327,500,NS-2013-03,Lisa Guggisberg,0,33,50.6,95,50,127.5,272.5
328,500,NS-2013-03,Katia Poreretta,0,,49.2,87.5,60,115,262.5
329,500,NS-2013-03,Pamela Bartz,0,26,55.4,130,70,152.5,352.5
330,500,NS-2013-03,Kristi Trussell,0,30,56.6,127.5,77.5,147.5,352.5
331,500,NS-2013-03,Alyssa Haveson,0,25,55.9,107.5,57.5,150,315
332,500,NS-2013-03,Karen Backenstose,0,37,54.7,102.5,60,127.5,290
333,500,NS-2013-03,Melissa Hunt,0,,54.4,95,62.5,130,287.5
334,500,NS-2013-03,Leigh Thierfelder,0,31,57,82.5,72.5,125,280
335,500,NS-2013-03,Roxanne Kirstner,0,37,56.6,87.5,60,97.5,245
336,500,NS-2013-03,Meghan Pellatt,0,29,61.5,132.5,75,172.5,380
337,500,NS-2013-03,Cristina Escalante,0,27,61.7,125,77.5,152.5,355
338,500,NS-2013-03,Laurie Gooden,0,32,62.6,97.5,77.5,125,300
339,500,NS-2013-03,Crystal Lind,0,,60.9,107.5,57.5,122.5,287.5
340,500,NS-2013-03,Heather Melton,0,24,60,102.5,60,122.5,285
341,500,NS-2013-03,Shelly Toth,0,,61.5,100,57.5,117.5,275
342,500,NS-2013-03,Susan Kwansy,0,,59.9,95,47.5,115,257.5
343,500,NS-2013-03,Helen White -O,0,,59.4,82.5,57.5,110,250
344,500,NS-2013-03,Rachel Tumin,0,26,59.9,85,40,100,225
345,500,NS-2013-03,Kimberly Walford,0,35,63.6,152.5,92.5,230,475
346,500,NS-2013-03,Jill Joiner-Wong -O,0,,66.8,137.5,80,150,367.5
347,500,NS-2013-03,Amy Welcome,0,27,68.6,127.5,67.5,167.5,362.5
348,500,NS-2013-03,Savannah Gentry,0,30,70.2,130,75,152.5,357.5
349,500,NS-2013-03,Elisabeth (Lis) Sanders,0,,70.8,132.5,65,160,357.5
350,500,NS-2013-03,Kehaulani Richardson,0,32,70.8,122.5,67.5,165,355
351,500,NS-2013-03,Jennifer Kroken,0,39,70.5,137.5,70,142.5,350
352,500,NS-2013-03,Jennifer Varner,0,30,66.3,122.5,67.5,150,340
353,500,NS-2013-03,Vanessa Gale,0,25,66.7,130,60,150,340
354,500,NS-2013-03,Cathy Cox,0,38,71.9,100,60,150,310
355,500,NS-2013-03,Kimberly Harrell,0,32,64.3,85,57.5,120,262.5
356,500,NS-2013-03,Anne Hayward,0,28,71.8,102.5,47.5,110,260
357,500,NS-2013-03,Brandi Eberly,0,37,70.4,80,50,112.5,242.5
359,500,NS-2013-03,Amber Sheppard,0,25,74.8,120,55,125,300
360,500,NS-2013-03,Pamela Cresci,0,20,58.2,82.5,47.5,130,260
361,500,NS-2013-03,Chelsy Gant,0,,59.9,70,47.5,120,237.5
362,500,NS-2013-03,Maria Young,0,20,63.5,95,42.5,122.5,260
363,500,NS-2013-03,Faith Knight,0,18,67.1,77.5,42.5,112.5,232.5
364,500,NS-2013-03,Tessa Urbank,0,20,74.4,112.5,52.5,161,326
